Code INSEE;Commune;geo_point_2d;Code Postal;Code Département;Région
35018;LA BAZOUGE-DU-DESERT;48.4439442954,-1.10950795869;35420;35;BRETAGNE
51421;OYES;48.8105165952,3.77122436918;51120;51;CHAMPAGNE-ARDENNE
70336;MELECEY;47.5236383873,6.49028438138;70110;70;FRANCHE-COMTE
52522;VIEVILLE;48.2402822332,5.15871985577;52310;52;CHAMPAGNE-ARDENNE
18016;AUBINGES;47.2193143403,2.58567212156;18220;18;CENTRE
3285;TORTEZAIS;46.4456252579,2.87340721419;3430;3;AUVERGNE
60418;MONTIERS;49.5038812733,2.56965274789;60190;60;PICARDIE
63249;NERONDE-SUR-DORE;45.7989836343,3.5070472328;63120;63;AUVERGNE
1180;GRILLY;46.3318810665,6.11366767978;1220;1;RHONE-ALPES
86003;ANCHE;46.3496375961,0.270285912605;86700;86;POITOU-CHARENTES
37262;TROGUES;47.111278976,0.511032879391;37220;37;CENTRE
60455;LA NEUVILLE-GARNIER;49.3324514539,2.04442768207;60390;60;PICARDIE
51163;CONGY;48.8704889111,3.81828668315;51270;51;CHAMPAGNE-ARDENNE
27384;MANNEVILLE-LA-RAOULT;49.3687031435,0.327624616931;27210;27;HAUTE-NORMANDIE
11389;TERROLES;42.9913709572,2.342696874;11580;11;LANGUEDOC-ROUSSILLON
44151;SAINT-ANDRE-DES-EAUX;47.3234376088,-2.31269060612;44117;44;PAYS DE LA LOIRE
71257;LESSARD-LE-NATIONAL;46.8732289132,4.84609901293;71530;71;BOURGOGNE
70404;PASSAVANT-LA-ROCHERE;47.9842695238,6.05556415808;70210;70;FRANCHE-COMTE
51317;LAVAL-SUR-TOURBE;49.1413872858,4.66851737844;51600;51;CHAMPAGNE-ARDENNE
41238;SAVIGNY-SUR-BRAYE;47.86966042,0.831215929044;41360;41;CENTRE
24056;LE BOURDEIX;45.5790760433,0.635522742578;24300;24;AQUITAINE
87003;ARNAC-LA-POSTE;46.2639834442,1.37338277352;87160;87;LIMOUSIN
62027;AMBRINES;50.3081142295,2.46698289083;62127;62;NORD-PAS-DE-CALAIS
60496;PLAINVILLE;49.6129358636,2.44994653858;60120;60;PICARDIE
31583;VILLEMATIER;43.8287331466,1.49684943742;31340;31;MIDI-PYRENEES
44146;ROUGE;47.7704881323,-1.43409809918;44660;44;PAYS DE LA LOIRE
62887;WIDEHEM;50.5841311365,1.65936419487;62630;62;NORD-PAS-DE-CALAIS
56063;GESTEL;47.8081867338,-3.43789895944;56530;56;BRETAGNE
80267;ENNEMAIN;49.8401372627,2.95682894761;80200;80;PICARDIE
95426;MONTLIGNON;49.0141682011,2.28900488904;95680;95;ILE-DE-FRANCE
12131;LA LOUBIERE;44.3909930617,2.65068486955;12740;12;MIDI-PYRENEES
27336;LA HEUNIERE;49.0649738684,1.41307259092;27950;27;HAUTE-NORMANDIE
